Общество с ограниченной ответственностью «Управляющая компания «Ставрополь»;2635118577;355013, Ставропольский край, г. Ставрополь, ул. Достоевского, д. 75, помещение 139;1082635017860
Муниципальное унитарное предприятие «Муниципальная управляющая компания города Михайловска»;2623804170;356240, Ставропольский край, Шпаковский район, г. Михайловск, ул. Фрунзе, 9;1142651029212
Общество с ограниченной ответственностью Управляющая компания «Многофункциональное универсальное предприятие Жилищно-эксплуатационный участок – 2»;2634815568;355035, Ставропольский край,  г. Ставрополь,  ул. Мира, д. 295, корп. 1, 2;1142651027925
Общество с ограниченной ответственностью «Ставропольская городская управляющая компания»;2635130630;355042, Ставропольский край,  г. Ставрополь, 2-й Юго-Западный проезд, 2г;1102635000456
Общество с ограниченной ответственностью «Управляющая компания «Гарант»;2636050586;355047, Ставропольский край,  г. Ставрополь,  пр. Кулакова,  д. 49/2;1062635141293
Общество с ограниченной ответственностью Управляющая компания «РАЗВИТИЕ»;2634088062;355035, Ставропольский край,  г. Ставрополь, ул. Мира, д. 295, корп. 1, 2;1092635015890
Общество с ограниченной ответственностью «Управляющая компания «Комфорт Сервис»;2635110419;355040, Ставропольский край,  г. Ставрополь,  ул. Тухачевского, 20/6;1082635001899
Общество с ограниченной ответственностью «Управляющая компания «КС 1»;2635123986;355000, Ставропольский край,  г. Ставрополь,  ул. Родосская, 2;1092635004978
Общество с ограниченной ответственностью управляющая компания «Приоритет»;2634804171;355002, Ставропольский край,  г. Ставрополь,  ул. Ломоносова,  д. 63;1112651033241
Общество с ограниченной ответственностью «Управляющая компания «Город Роз»;2635817656;355021, Ставропольский край,  г. Ставрополь,  ул. Черниговская, д. 4/1, офис 147;1132651000680
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЛУЧ»;2615801792;356000, Ставропольский край, Новоалександровский район, г. Новоалександровск, ул. Ленина,  117-б;1142651016705
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «УПРАВЛЯЮЩАЯ КОМПАНИЯ № 99»;2623804155;356246, Ставропольский край, Шпаковский район,  г. Михайловск,  ул. Музыкальная, д. 6, офис 16;1142651029058
Общество с ограниченной ответственностью «Строитель-7»;2607013406;356140, Ставропольский край,  г. Изобильный, Территория ГСП-36;1022600668056
Общество с ограниченной ответственность «Управляющая компания»;2607018443;356140, Ставропольский край,  г. Изобильный,  ул. Матросова, 2;1052600016116
Общество с ограниченной ответственностью «Управляющая компания «Черёмушки»;2632805765;357502, Ставропольский край, г. Пятигорск, ул. Булгакова, д. 5;1122651029412
Общество с ограниченной ответственностью Управляющая компания «Восточная»;2624032656;356800, Ставропольский край,  г. Буденновск, Микрорайон 1,  дом № 23;1092646000985
Муниципальное унитарное предприятие «Гарантия»  г. Невинномысска;2631800612;357108, Ставропольский край,  г. Невинномысск, ул. Менделеева,  д. 34А;1102651004906
Общество с ограниченной ответственностью Управляющая компания «Авангард»;2635123619;355029, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 394, офис 20;1092635004439
Общество с ограниченной ответственностью «Новый город»;2632805532;357502, Ставропольский край, г. Пятигорск, ул. Университетская, д. 32 а;1122651027410
Общество с ограниченной ответственностью «НИКА-С»;2636802927;355017, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 219, оф. 5;1112651032053
Общество с ограниченной ответственностью Управляющая компания «РИТМ-2»;2607000157;356140, Ставропольский край, Изобильненский район,  г. Изобильный,  ул. Доватора, д 1Б;1152651000864
Общество с ограниченной ответственностью «Домовой»;2623803200;356240, Ставропольский край, Шпаковский район,  г. Михайловск,  ул. Полеводческая, д. 12 офис 21.22.23;1132651031600
Общество с ограниченной ответственностью «Пятнадцатая управляющая компания «Преображение»;2634803636;355000, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 287;1112651027092
